   LIST OF POSSIBLE BACKPACK ITEMS 
-----------------------------------------------------

    ITEM      FROM WHERE               TO WHOM     
--------------------------------------------------------- 
twig           Park                     You             
pebble         Pond                     Tommy           
collar         Pound                    DeVil           
doughnuts      Bakery                   Mr. Sneed       
snow globe     Zoo Entrance             Mr. Stealletti  
treat          Drive-In                 You             
bone           Nursing Home             You             
name tag       Animal Hospital          Collar          
meal           Restaurant               Miss Ellie      
card           Grocery Warehouse        Smiths          
fish           Fishmonger               Tigers          
peanuts        School Cafeteria         Elephants       
ball           School Playground        Gorrillasl      
paper          School Entrance          Brad            
